Species,Turbines density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Dubusia carrikeri,37,0,0,0,0
Dysithamnus occidentalis,0,0,0,0,0
Dysithamnus plumbeus,0,1,0,0,0
Elaenia ridleyana,0,1,0,0,0
Electron carinatum,6,1,0,0,1
Eleoscytalopus psychopompus,0,0,0,0,0
Eleothreptus anomalus,14,1,0,1,0
Eleothreptus candicans,0,1,0,1,0
Eriocnemis godini,0,0,0,0,0
Eriocnemis isabellae,0,0,0,0,0
Eriocnemis mirabilis,0,0,0,0,0
Eriocnemis nigrivestis,0,0,0,0,0
Euchrepomis sharpei,0,0,0,0,0
Eulidia yarrellii,0,0,0,0,0
Euphagus carolinus,0,1,0,0,1
Eupherusa cyanophrys,95,0,0,0,0
Eupsittula canicularis,66,1,0,0,1
Ferminia cerverai,0,1,0,0,1
Formicivora erythronotos,0,0,0,0,0
Formicivora grantsaui,0,0,0,0,0
Formicivora paludicola,0,0,0,0,0
Forpus xanthops,4,0,0,0,0
Geositta poeciloptera,30,1,0,1,0
Geospiza acutirostris,0,1,0,0,0
Geospiza conirostris,0,1,0,0,0
Geospiza heliobates,3,1,0,0,0
Geospiza pauper,6,0,0,0,0
Geospiza propinqua,0,1,0,0,0
Geospiza psittacula,2,1,0,0,0
Geospiza septentrionalis,0,1,0,0,0
Geothlypis beldingi,4,1,0,0,0
Geothlypis speciosa,5,0,0,0,0
Geotrygon caniceps,5,1,0,0,1
Geotrygon leucometopia,33,0,0,0,0
Geotrygon purpurata,0,0,0,0,0
Glaucidium mooreorum,0,1,0,0,0
Glaucidium nubicola,0,0,0,0,0
Glaucis dohrnii,0,1,0,0,0
Grallaria alleni,0,0,0,0,0
Grallaria bangsi,18,1,0,0,1
Grallaria chthonia,0,0,0,0,0
Grallaria excelsa,5,1,0,0,1
Grallaria fenwickorum,0,0,0,0,0
Grallaria gigantea,0,0,0,0,0
Grallaria kaestneri,0,0,0,0,0
Grallaria milleri,0,0,0,0,0
Grallaria przewalskii,2,0,0,0,0
Grallaria ridgelyi,0,0,0,0,0
Grallaria rufocinerea,0,0,0,0,0
Grallaria saltuensis,18,0,0,0,0
Grallaricula cucullata,0,0,0,0,0
Grallaricula cumanensis,0,1,0,0,1
Grallaricula ochraceifrons,0,0,0,0,0
Grus americana,0,1,0,0,1
Guaruba guarouba,0,0,0,0,0
Gubernatrix cristata,45,1,0,1,0
Gymnogyps californianus,21,1,0,0,0
Gymnorhinus cyanocephalus,9,1,0,0,0
Hapalopsittaca fuertesi,0,0,0,0,0
Harpia harpyja,2,1,0,1,1
Hemitriccus furcatus,2,1,0,0,0
Hemitriccus kaempferi,0,0,0,0,0
Hemitriccus mirandae,441,1,0,0,0
Henicorhina negreti,0,0,0,0,0
Herpsilochmus axillaris,0,0,0,0,0
Herpsilochmus parkeri,0,0,0,0,0
Herpsilochmus pectoralis,74,1,0,0,0
Herpsilochmus pileatus,0,1,0,0,0
Hesperiphona vespertina,0,1,0,0,1
Hydrobates cheimomnestes,0,1,0,0,0
Hydrobates homochroa,7,1,0,0,0
Hydrobates leucorhous,6,1,0,0,1
Hydrobates macrodactylus,12,1,0,0,0
Hydrobates socorroensis,0,1,0,0,0
Hylonympha macrocerca,0,1,0,0,1
Hylopezus auricularis,0,0,0,0,0
Hylorchilus navai,0,1,0,0,1
